City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Lucknow,2023-01-01,0,0.92,18.22,17.15,0,0.92,27.64,133.36,0,0.02,0,0,0,Very Poor
Lucknow,2023-01-02,0,0.97,15.69,16.46,0,0.97,24.55,34.06,3.68,5.5,3.77,0,0,Very Poor
Lucknow,2023-01-03,0,17.4,19.3,29.7,0,17.4,29.07,30.7,6.8,16.4,2.25,0,0,Very Poor
Lucknow,2023-01-04,0,1.7,18.48,17.97,0,1.7,18.59,36.08,4.43,10.14,1,0,0,Very Poor
Lucknow,2023-01-05,0,22.1,21.42,37.76,0,22.1,39.33,39.31,7.01,18.89,2.78,0,0,Very Poor
Lucknow,2023-01-06,0,45.41,38.48,81.5,0,45.41,45.76,46.51,5.42,10.83,1.93,0,0,Very Poor
Lucknow,2023-01-07,0,112.16,40.62,130.77,0,112.16,32.28,33.47,0,0,0,0,0,Very Poor
Lucknow,2023-01-08,0,80.87,36.74,96.75,0,80.87,38.54,31.89,0,0,0,0,0,Very Poor
Lucknow,2023-01-09,0,29.16,31,48,0,29.16,58.68,25.75,0,0,0,0,0,Very Poor
Lucknow,2023-01-10,0,7.04,0,0,0,7.04,8.29,4.55,0,0,0,0,0,Very Poor
Lucknow,2023-01-11,0,132.07,55.8,24.53,0,132.07,25.03,6.79,0,0,0,0,0,Very Poor
Lucknow,2023-01-12,0,52.04,40.67,90.24,0,52.04,51.84,45.89,2.41,0.03,7.88,0,0,Very Poor
Lucknow,2023-01-13,0,48.82,44.2,87.09,0,48.82,68.21,35.16,9.45,13.35,12.5,0,0,Very Poor
Lucknow,2023-01-14,0,19.2,27.86,33.05,0,19.2,52.65,20.96,2.16,2.26,5.19,0,0,Very Poor
Lucknow,2023-01-15,0,0.6,16.96,16.6,0,0.6,28.89,47.63,0.14,0.04,1.35,0,0,Very Poor
Lucknow,2023-01-16,0,1.63,21.72,22.86,0,1.63,38.27,46.03,0.35,0.05,2.01,0,0,Very Poor
Lucknow,2023-01-17,0,11.44,24.73,34.75,0,11.44,49.5,52.24,0.68,0,3.27,0,0,Very Poor
Lucknow,2023-01-18,0,6.1,25.77,29.57,0,6.1,48.43,53.49,0.74,0.21,2.75,0,0,Very Poor
Lucknow,2023-01-19,0,2.51,26.88,27.45,0,2.51,50.03,49.48,0.26,0.02,2.8,0,0,Very Poor
Lucknow,2023-01-20,0,7.92,26.8,32.4,0,7.92,58.87,56.37,0.24,0.01,3.97,0,0,Very Poor
Lucknow,2023-01-21,0,9.52,33.56,39.28,0,9.52,106.93,48.75,0.33,0,5.65,0,0,Very Poor
Lucknow,2023-01-22,0,9.05,17.51,22.33,0,9.05,23.71,42.22,0,0,4.51,0,0,Very Poor
Lucknow,2023-01-23,0,22.53,27.96,47.79,0,22.53,39.19,32.92,0.39,0,5.95,0,0,Very Poor
Lucknow,2023-01-24,0,2.03,20.39,21.4,0,2.03,40.07,32.49,0.47,0.7,1.54,0,0,Very Poor
Lucknow,2023-01-25,0,1.42,20.43,20.19,0,1.42,58.41,39.26,0.01,0,0.94,0,0,Very Poor
Lucknow,2023-01-26,0,2.27,21.16,21.81,0,2.27,43.73,39.83,0.06,0,1.55,0,0,Very Poor
Lucknow,2023-01-27,0,2.19,21.7,23.26,0,2.19,43.28,41.1,0.02,0,1.65,0,0,Very Poor
Lucknow,2023-01-29,83.13,0,6.93,28.71,33.72,0,6.93,49.52,59.76,0.02,0,3.14,209,Poor
Lucknow,2023-01-30,79.84,0,13.85,28.68,41.08,0,13.85,48.49,97.07,0.04,0,4.81,328,Very Poor
Lucknow,2023-01-31,94.52,0,24.39,32.66,52.61,0,24.39,67.39,111.33,0.24,0.01,7.67,514,Severe
Lucknow,2023-02-01,135.99,0,43.48,42.08,84.57,0,43.48,75.23,102.7,0.4,0.04,25.87,782,Severe
Lucknow,2023-02-02,178.33,0,54.56,35.31,72.8,0,54.56,55.04,107.38,0.46,0.06,35.61,914,Severe
Lucknow,2023-02-03,139.7,0,30.61,28.4,56.73,0,30.61,33.79,73.6,0.17,0.03,11.87,660,Severe

Lucknow,2024-11-15 23:49:00,2.0,2.0,21.0,11.0,3.0,44.0,55.0,7.0,8.0,9.0,4.0,6.0,66.6,Moderate
Lucknow,2024-11-15 23:50:07,21.0,12.0,54.0,111.0,33.0,144.0,55.0,72.0,84.0,96.0,41.0,64.0,320.8559999999997,Hazardous
Lucknow,2024-11-15 23:58:59,211.0,121.0,541.0,111.0,33.0,144.0,553.0,72.0,841.0,96.0,41.0,64.0,523.9659999999998,Hazardous
Lucknow,2024-11-16 00:06:22,2.0,121.0,51.0,11.0,33.0,14.0,5.0,7.0,81.0,9.0,1.0,64.0,281.33783999999986,Very Unhealthy
Lucknow,2024-11-16 11:21:34,2.0,1.0,1.0,11.0,3.0,4.0,5.0,7.0,8.0,9.0,1.0,6.0,86.4822088000001,Moderate
Lucknow,2024-11-16 12:03:48,2.0,1.0,1.0,11.0,3.0,4.0,5.0,7.0,8.0,9.0,1.0,6.0,86.4822088000001,Moderate
Lucknow,2024-11-16 12:22:46,29.0,16.0,14.0,11.0,31.0,4.0,5.0,72.0,82.0,93.0,14.0,67.0,315.8695534079999,Hazardous
Lucknow,2024-11-16 12:23:12,29.0,16.0,14.0,11.0,31.0,4.0,5.0,72.0,82.0,93.0,14.0,67.0,315.8695534079999,Hazardous
Lucknow,2024-11-16 12:23:26,29.0,16.0,14.0,11.0,31.0,4.0,5.0,72.0,82.0,93.0,14.0,67.0,315.8695534079999,Hazardous
Lucknow,2024-11-16 12:23:41,29.0,16.0,14.0,11.0,31.0,4.0,5.0,72.0,82.0,93.0,14.0,67.0,315.8695534079999,Hazardous
Lucknow,2024-11-16 19:37:51,29.0,16.0,14.0,11.0,31.0,4.0,5.0,72.0,82.0,93.0,14.0,67.0,315.8695534079999,Hazardous
Lucknow,2024-11-16 19:38:04,29.0,16.0,14.0,11.0,31.0,4.0,5.0,72.0,82.0,93.0,14.0,67.0,315.8695534079999,Hazardous
Lucknow,2024-11-16 20:34:32,9.0,16.0,1.0,11.0,3.0,4.0,5.0,7.0,20.0,3.0,4.0,7.0,87.57568975008009,Moderate
